1.000000000000000082e-05,1.000000000000000000e+01,0.000000000000000000e+00
2.223111111111111121e-02,8.000000000000000000e+00,2.000000000000000000e+00
4.445222222222222630e-02,7.000000000000000000e+00,3.000000000000000000e+00
6.667333333333333445e-02,5.000000000000000000e+00,5.000000000000000000e+00
8.889444444444444260e-02,4.000000000000000000e+00,6.000000000000000000e+00
1.111155555555555507e-01,7.000000000000000000e+00,3.000000000000000000e+00
1.333366666666666867e-01,5.000000000000000000e+00,5.000000000000000000e+00
1.555577777777777948e-01,4.000000000000000000e+00,6.000000000000000000e+00
1.777788888888889030e-01,7.000000000000000000e+00,3.000000000000000000e+00
2.000000000000000111e-01,5.000000000000000000e+00,5.000000000000000000e+00
